,GOLD,sp500,VNQ,Date,FAANG
217,,,,2020-09-11,-0.008627946559961353
218,,,,2020-09-14,0.002430335187605381
219,,,,2020-09-15,0.019771701849103263
220,,,,2020-09-16,-0.025737631634557445
221,,,,2020-09-17,-0.02318263097793527
222,,,,2020-09-18,-0.016783289114703615
223,,,,2020-09-21,0.010345094625206608
224,,,,2020-09-22,0.02556666548930986
225,,,,2020-09-23,-0.03735520985579377
226,,,,2020-09-24,0.006810418563246712
227,,,,2020-09-25,0.02429142793005079
228,,,,2020-09-28,0.01826367048394051
229,,,,2020-09-29,0.0014217897522901255
230,,,,2020-09-30,0.006783972498010771
231,,,,2020-10-01,0.024661913308297256
232,,,,2020-10-02,-0.032208156432509294
233,,,,2020-10-05,0.02621410381417788
234,,,,2020-10-06,-0.02705321692863916
235,,,,2020-10-07,0.02417567062997916
236,,,,2020-10-08,0.004199386680520335
237,,,,2020-10-09,0.017115188062607256
238,,,,2020-10-12,0.037919637050443315
239,,,,2020-10-13,0.00010986003963475709
240,,,,2020-10-14,-0.013288808814178377
241,,,,2020-10-15,-0.006307512153396644
242,,,,2020-10-16,-0.011755331579315187
243,,,,2020-10-19,-0.016919223669891292
244,,,,2020-10-20,0.0074522678101307535
245,,,,2020-10-21,-0.008628908458242268
246,,,,2020-10-22,-0.002887320966735607
247,,,,2020-10-23,0.00870636753530496
248,,,,2020-10-26,-0.009419918616358158
249,,,,2020-10-27,0.014341631229603191
250,,,,2020-10-28,-0.03872374393678968
