Date,Price,Open,High,Low,Vol.,Change %
22-Nov-19,1.0062,1.0041,1.0073,1.0041,13.09M,0.20%
21-Nov-19,1.0041,1.003,1.0079,1.003,8.37M,0.11%
20-Nov-19,1.003,1.0078,1.0084,1.0028,3.92M,-0.17%
19-Nov-19,1.0047,1.0023,1.0076,1.0023,3.77M,0.25%
18-Nov-19,1.0022,1.0058,1.0071,1.0017,5.72M,-0.36%
17-Nov-19,1.0058,1.004,1.007,1.004,3.08M,0.18%
16-Nov-19,1.004,1.0049,1.0052,1.0036,3.88M,0.11%
15-Nov-19,1.0028,1.0014,1.0042,1.0014,4.73M,0.14%
14-Nov-19,1.0014,1.006,1.006,1.0007,4.76M,-0.03%
13-Nov-19,1.0017,1.0018,1.0045,1.0013,4.20M,-0.01%
12-Nov-19,1.0018,1.0027,1.0041,1.0012,4.03M,-0.08%
11-Nov-19,1.0027,1.0039,1.0048,1.0022,3.11M,-0.12%
10-Nov-19,1.0039,1.0039,1.005,1.0033,3.51M,0.11%
9-Nov-19,1.0028,1.0005,1.003,1.0005,3.06M,0.22%
8-Nov-19,1.0005,1.0013,1.002,0.9994,9.00M,-0.02%
7-Nov-19,1.0007,1.0016,1.0028,1.0002,5.64M,-0.09%
6-Nov-19,1.0016,1.0022,1.005,1.0011,3.57M,-0.06%
5-Nov-19,1.0022,1.0047,1.005,1.0016,4.61M,-0.13%
4-Nov-19,1.0035,1.0032,1.0043,1.0026,7.24M,0.03%
3-Nov-19,1.0033,1.0036,1.0047,1.0029,2.67M,-0.04%
2-Nov-19,1.0036,1.0048,1.005,1.0034,4.24M,-0.02%
1-Nov-19,1.0038,1.0034,1.0045,1.0034,6.53M,0.04%
31-Oct-19,1.0034,1.0035,1.0044,1.0032,7.33M,-0.01%
30-Oct-19,1.0035,1.0035,1.0042,1.0023,6.93M,0.00%
29-Oct-19,1.0035,1.0025,1.0038,1.0015,4.28M,0.10%
