Date,Price,Open,High,Low,Vol.,Change %
4-Mar-20,319.55,329.58,331.96,310.92,3.09M,-3.04%
3-Mar-20,329.57,339.06,339.27,321.61,3.85M,-2.78%
2-Mar-20,338.99,312.42,342.56,310.82,4.04M,8.50%
1-Mar-20,312.43,306.32,323.97,304.56,3.69M,2.00%
29-Feb-20,306.31,315.12,322.32,305.69,3.40M,-2.81%
28-Feb-20,315.17,324.42,329.19,299.8,4.73M,-2.85%
27-Feb-20,324.41,316.73,334.78,307.94,4.95M,2.41%
26-Feb-20,316.77,353.11,361.25,302.24,6.53M,-10.31%
25-Feb-20,353.18,378.52,379.46,345.95,3.99M,-6.70%
24-Feb-20,378.54,402.41,407.7,365.62,4.16M,-5.95%
23-Feb-20,402.51,373.1,403.85,372.44,3.51M,7.88%
22-Feb-20,373.12,377.85,380.21,367.63,2.99M,-1.25%
21-Feb-20,377.85,371.49,387.69,367.35,3.88M,1.62%
20-Feb-20,371.81,378.87,387.48,354.13,4.59M,-1.87%
19-Feb-20,378.9,420.01,423.2,371.28,3.79M,-9.79%
18-Feb-20,420.01,412.9,426.4,386.06,5.22M,1.77%
17-Feb-20,412.71,412.72,416.89,368.69,6.80M,-0.01%
16-Feb-20,412.74,439.03,457.63,385.78,5.42M,-6.00%
15-Feb-20,439.07,493.6,494.65,425.78,4.24M,-11.05%
14-Feb-20,493.6,476.97,497.71,466.29,3.14M,3.49%
13-Feb-20,476.97,473.65,484.23,460.74,3.17M,0.69%
12-Feb-20,473.7,461.93,481.49,461.91,3.13M,2.55%
11-Feb-20,461.93,452.31,468.6,441.31,2.92M,2.13%
10-Feb-20,452.31,449.79,461.85,436.87,3.11M,0.55%
9-Feb-20,449.83,444.49,459.91,435.35,2.62M,1.20%
8-Feb-20,444.48,439.57,453.51,425.78,2.53M,1.12%
7-Feb-20,439.57,445.43,459.12,432.39,3.25M,-1.31%
6-Feb-20,445.42,445.11,448.45,417.88,3.79M,0.06%
5-Feb-20,445.16,380.93,445.37,378.83,4.21M,16.86%
4-Feb-20,380.93,384.44,389.18,380.93,2.42M,-0.91%
3-Feb-20,384.45,377.51,392.13,375.01,2.51M,1.84%
2-Feb-20,377.5,380.12,388.18,369.68,2.31M,-0.69%
1-Feb-20,380.12,374.81,389.23,372.93,2.34M,1.41%
31-Jan-20,374.81,392.33,408.07,365.14,3.06M,-4.46%
30-Jan-20,392.33,380.47,413.25,372.7,3.41M,3.12%
29-Jan-20,380.47,378.57,395.56,377,3.56M,0.50%
28-Jan-20,378.57,362.76,384.56,361.4,3.55M,4.36%
27-Jan-20,362.76,347.97,377.48,347.97,3.84M,4.25%
26-Jan-20,347.97,310.14,348.65,307.91,2.85M,12.19%
25-Jan-20,310.17,318.66,318.89,305.28,1.76M,-2.66%
24-Jan-20,318.66,325.13,327.69,298.18,3.54M,-2.00%
23-Jan-20,325.15,349.07,349.7,318.01,2.54M,-6.85%
22-Jan-20,349.08,343.54,353.9,339.43,1.91M,1.61%
21-Jan-20,343.54,345.48,347.95,333.51,1.97M,-0.56%
20-Jan-20,345.48,339.41,352.63,324.16,2.99M,1.79%
19-Jan-20,339.42,338.81,365.49,321.49,4.97M,0.18%
18-Jan-20,338.8,368.01,403.78,331.4,7.13M,-7.94%
17-Jan-20,368,327,382.72,320.03,5.42M,12.53%
16-Jan-20,327.01,340.1,342.7,311.12,4.10M,-3.85%
15-Jan-20,340.1,349.49,361.25,314.44,7.08M,-2.69%
14-Jan-20,349.49,267.09,367.02,267.09,9.25M,30.86%
13-Jan-20,267.08,270.21,271.86,261.66,1.95M,-1.16%
12-Jan-20,270.23,261.14,270.24,258.25,1.86M,3.47%
11-Jan-20,261.15,271.74,278.95,259.27,3.17M,-3.89%
10-Jan-20,271.71,238,273.93,231.56,4.04M,14.16%
9-Jan-20,238,240.05,243.57,231.41,2.22M,-0.85%
8-Jan-20,240.05,242.69,253.43,230.56,3.28M,-1.08%
7-Jan-20,242.67,244.16,246.4,232.46,2.96M,-0.61%
6-Jan-20,244.16,222.86,246.11,222.3,2.92M,9.55%
5-Jan-20,222.87,224.46,227.17,220.83,1.85M,-0.70%
4-Jan-20,224.45,222.24,226.97,217.47,2.09M,1.00%
3-Jan-20,222.23,195.49,225.05,192.18,3.70M,13.68%
2-Jan-20,195.48,204.39,205.37,193.04,1.73M,-4.37%
1-Jan-20,204.4,204.69,208.8,203.16,1.46M,-0.14%
31-Dec-19,204.69,208.57,213.85,201.93,1.86M,-1.86%
30-Dec-19,208.58,212.4,214.95,205.84,1.85M,-1.80%
29-Dec-19,212.41,206.19,215.6,204.55,1.87M,3.04%
28-Dec-19,206.14,203.24,209.4,202.6,2.23M,1.43%
27-Dec-19,203.23,187.74,203.59,186.87,2.63M,8.25%
26-Dec-19,187.74,185.25,194.39,184.12,1.35M,1.34%
25-Dec-19,185.25,188.31,188.8,183.22,1.12M,-1.63%
24-Dec-19,188.31,189.75,191.59,185.23,1.30M,-0.77%
23-Dec-19,189.77,196.29,197.94,188.56,1.27M,-3.32%
22-Dec-19,196.29,186.21,197.34,185.79,1.21M,5.42%
21-Dec-19,186.21,187.37,188.36,185.51,785.72K,-0.63%
20-Dec-19,187.38,186.07,190.49,183.9,1.26M,0.70%
19-Dec-19,186.08,188.93,190.76,183.48,2.81M,-1.51%
18-Dec-19,188.93,176.4,191.27,170.08,4.38M,7.11%
17-Dec-19,176.39,196.19,197.21,172.99,3.32M,-10.10%
16-Dec-19,196.19,207.1,208.89,194.4,2.58M,-5.26%
15-Dec-19,207.09,206.8,210.61,204.13,1.65M,0.14%
14-Dec-19,206.81,212.06,214.29,204.11,1.71M,-2.48%
13-Dec-19,212.06,207.1,214.09,205.02,1.85M,2.40%
12-Dec-19,207.09,207.88,209.29,204.13,1.93M,-0.38%
11-Dec-19,207.88,207.41,209.64,205.68,1.68M,0.22%
10-Dec-19,207.42,209.4,210.35,205.47,1.83M,-0.95%
9-Dec-19,209.4,213.4,215.54,206.78,1.91M,-1.87%
8-Dec-19,213.4,211.03,215.69,209.04,1.87M,1.12%
7-Dec-19,211.03,212.75,216.22,210.41,1.90M,-0.80%
6-Dec-19,212.74,211.9,231.19,209.3,1.98M,-0.18%
5-Dec-19,213.11,207.64,215.18,205.3,2.32M,2.64%
4-Dec-19,207.64,213.5,219.95,203.67,2.31M,-2.74%
3-Dec-19,213.5,214.1,217.72,210.06,1.58M,-0.28%
2-Dec-19,214.1,215.39,223.64,210.04,1.61M,-0.61%
1-Dec-19,215.42,217.74,219.63,210.19,1.73M,-1.07%
30-Nov-19,217.74,224.19,237.62,214.98,1.78M,-2.87%
29-Nov-19,224.19,218.16,227.51,217.62,2.02M,2.76%
28-Nov-19,218.17,219.5,223.19,216.04,2.14M,-0.54%
27-Nov-19,219.36,211.7,225.67,202.8,3.10M,3.62%
26-Nov-19,211.7,208.44,215.74,207.09,2.52M,1.56%
25-Nov-19,208.44,202.36,216.32,192.07,4.29M,3.01%
24-Nov-19,202.35,215.16,216.1,201.18,3.00M,-5.95%
23-Nov-19,215.16,208.19,217.67,200.74,3.33M,3.34%
22-Nov-19,208.2,226.34,229.48,194.42,6.35M,-8.02%
21-Nov-19,226.34,243.55,247.68,220.57,3.81M,-7.07%
20-Nov-19,243.55,243.34,248.81,238.39,2.15M,0.10%
19-Nov-19,243.31,247.22,263.7,234.18,3.01M,-1.58%
18-Nov-19,247.22,267.02,267.36,239.48,2.73M,-7.41%
17-Nov-19,267.02,265.46,270.7,260.44,1.57M,0.59%
16-Nov-19,265.46,263.96,268.71,262.47,1.51M,0.57%
15-Nov-19,263.96,278.19,279.76,261.86,2.49M,-5.10%
14-Nov-19,278.16,286.32,286.86,274.42,2.14M,-2.66%
13-Nov-19,285.76,289.11,289.86,282.62,1.54M,-1.16%
12-Nov-19,289.1,286.64,292.01,281.63,2.04M,0.86%
11-Nov-19,286.64,293.63,297.61,282.6,2.17M,-2.16%
10-Nov-19,292.97,283.09,298.95,280.03,2.47M,3.49%
9-Nov-19,283.09,278.5,284.9,276.58,1.73M,1.65%
8-Nov-19,278.49,292.27,295.1,271.71,2.84M,-4.72%
7-Nov-19,292.27,305.58,307.32,287,2.76M,-4.35%
6-Nov-19,305.57,293.09,307.95,291.61,2.87M,4.27%
5-Nov-19,293.06,291.11,297.1,287.95,2.29M,0.68%
4-Nov-19,291.08,292,295.14,284.91,3.48M,-0.12%
3-Nov-19,291.43,289.68,303.6,282.98,3.71M,0.61%
2-Nov-19,289.67,278.26,295.66,277.39,3.67M,4.09%
1-Nov-19,278.3,282.65,283.69,270.62,3.80M,-1.51%
31-Oct-19,282.56,288.64,293.12,270.45,4.70M,-2.12%
30-Oct-19,288.68,288.95,305.01,283.67,5.52M,-0.09%
29-Oct-19,288.94,264.27,297,264.04,6.58M,9.33%
28-Oct-19,264.27,260.54,275.05,258.48,5.15M,1.43%
27-Oct-19,260.53,252.72,267.92,245.32,5.19M,3.05%
26-Oct-19,252.81,258.98,269.31,242.27,6.93M,-2.38%
